,portfolio_return,gross_return,tc_drag
2006-02-28,0.002077769059066785,0.002567769059066785,0.0004900000000000001
2006-03-31,-0.008699495888901603,-0.008419495888901602,0.00028
2006-04-28,0.014078263999242452,0.01465154170337287,0.0005732777041304182
2006-05-31,-0.011990116544965231,-0.011780116544965231,0.00021000000000000012
2006-06-30,-0.007271499558835763,-0.006745475127224821,0.0005260244316109419
2006-07-31,0.007689796021260658,0.00861467940699181,0.0009248833857311522
2006-08-31,0.011122626040557734,0.01207574341184349,0.0009531173712857554
2006-09-29,0.006829975331516211,0.007405698209294364,0.000575722877778153
2006-10-31,0.009735662972896039,0.010275801231535016,0.0005401382586389771
2006-11-30,0.023687493193882633,0.024262011620688702,0.00057451842680607
2006-12-29,-0.007031318795402808,-0.006821318795402808,0.00021000000000000012
2007-01-31,0.0057993073265039784,0.0060093073265039786,0.00021000000000000017
2007-02-28,0.009195778100954639,0.009405778100954639,0.00021000000000000012
2007-03-30,-0.003666518588345234,-0.003456518588345234,0.00021000000000000012
2007-04-30,0.019758876146496504,0.019968876146496506,0.00021000000000000012
2007-05-31,0.014934453480443477,0.015410292627111992,0.00047583914666851504
2007-06-29,-0.010880168695463103,-0.009892198850557511,0.0009879698449055917
2007-07-31,0.016411209349609015,0.016411209349609015,0.0
2007-08-31,0.01608679672741225,0.01658558131310136,0.00049878458568911
2007-09-28,0.03062740950569798,0.03062740950569798,0.0
2007-10-31,0.02677819371620333,0.02726898548290506,0.000490791766701728
2007-11-30,0.014363587360961584,0.014363587360961584,0.0
2007-12-31,0.003513136366878315,0.004013717831176733,0.0005005814642984182
2008-01-31,-0.01816466102617839,-0.017796471304984136,0.00036818972119425546
2008-02-29,-0.0032138494092011425,-0.0028772863443124264,0.0003365630648887161
2008-03-31,-0.007647247717562872,-0.0071689082308961085,0.000478339486666764
2008-04-30,0.004855110944201139,0.0053452765967897135,0.0004901656525885743
2008-05-30,-0.008355330539206245,-0.007844175496305322,0.0005111550429009241
2008-06-30,0.013181289315125714,0.013181289315125714,0.0
2008-07-31,-0.006298878971944924,-0.0053056600406382,0.0009932189313067244
2008-08-29,0.006690193113106469,0.006690193113106469,0.0
2008-09-30,0.0014331610359889552,0.0024175529319688097,0.0009843918959798546
2008-10-31,-0.06569884390035365,-0.06569884390035365,0.0
2008-11-28,0.08335993550419414,0.08341519050314959,5.5254998955456085e-05
2008-12-31,0.0818441014817248,0.08188878535886872,4.468387714391775e-05
2009-01-30,-0.0642703191087787,-0.0632846298043733,0.0009856893044053947
2009-02-27,-0.0470553299897551,-0.04656411938876402,0.0004912106009910741
2009-03-31,0.031397756146141875,0.031397756146141875,0.0
2009-04-30,0.016742903960043208,0.016742903960043208,0.0
2009-05-29,0.02941686770516204,0.02941686770516204,0.0
2009-06-30,-0.0001936205706957964,-0.00014627401584944112,4.734655484635527e-05
2009-07-31,0.037869050580908364,0.037869050580908364,0.0
2009-08-31,0.018192001834148975,0.018192001834148975,0.0
2009-09-30,0.028376523703688022,0.02889791321948647,0.0005213895157984496
2009-10-30,-0.0030196081451957296,-0.0030196081451957296,0.0
2009-11-30,0.04591022040387898,0.04591022040387898,0.0
2009-12-31,-0.04250808466351676,-0.04245350028956327,5.458437395349087e-05
2010-01-29,0.004254958876784428,0.004254958876784428,0.0
2010-02-26,0.014604357263296548,0.015089202293486367,0.0004848450301898193
2010-03-31,0.014873635515386743,0.014873635515386743,0.0
2010-04-30,0.02534464863144602,0.02534464863144602,0.0
2010-05-31,-0.0123788891350395,-0.0123788891350395,0.0
2010-06-30,0.008667122873347387,0.008667122873347387,0.0
2010-07-30,0.01615024229350262,0.016192439793605996,4.2197500103374954e-05
2010-08-31,-0.012916796234260324,-0.012450767111996242,0.00046602912226408164
2010-09-30,0.029771209275897832,0.030242621620390674,0.0004714123444928404
2010-10-29,0.007726859546217811,0.007726859546217811,0.0
2010-11-30,-0.004789557100060414,-0.0043310060821915245,0.000458551017868889
2010-12-31,0.039537419755170826,0.039537419755170826,0.0
2011-01-31,0.01003789643418089,0.01003789643418089,0.0
2011-02-28,0.02851019974495695,0.02854738998465975,3.719023970279839e-05
2011-03-31,0.0012240836059198464,0.0017172071452777595,0.0004931235393579133
2011-04-29,0.03264959946707951,0.03264959946707951,0.0
2011-05-31,0.004208977943724501,0.004208977943724501,0.0
2011-06-30,-0.01616311253929336,-0.01616311253929336,0.0
2011-07-29,0.00012141466166707424,0.0006209820693589075,0.0004995674076918332
2011-08-31,-0.01778115206974645,-0.01778115206974645,0.0
2011-09-30,-0.03880143502766827,-0.03875201849977513,4.9416527893144104e-05
2011-10-31,0.07390076697895703,0.07390076697895703,0.0
2011-11-30,-0.006713829149674799,-0.006713829149674799,0.0
2011-12-30,0.0027551768007841077,0.0032441821038977792,0.0004890053031136717
2012-01-31,0.037390652040119765,0.037874686158822043,0.0004840341187022818
2012-02-29,0.02663723194230732,0.02663723194230732,0.0
2012-03-30,0.012240772996432869,0.012240772996432869,0.0
2012-04-30,0.003477349164030037,0.0035150010927484255,3.7651928718388254e-05
2012-05-31,0.013655196767362904,0.014629291334829006,0.000974094567466102
2012-06-29,0.003538618115677454,0.0035803570833515897,4.173896767413563e-05
2012-07-31,0.020072171826418315,0.020072171826418315,0.0
2012-08-31,0.016372012361630287,0.017346647596951967,0.0009746352353216792
2012-09-28,0.0096933771123208,0.010189065706065297,0.0004956885937444971
2012-10-31,-0.010495110027992511,-0.010011068151639761,0.00048404187635275
2012-11-30,0.0025455930190199745,0.0030362353383546242,0.0004906423193346499
2012-12-31,-0.0069864345018366214,-0.0069864345018366214,0.0
2013-01-31,0.0052592558711434065,0.0052592558711434065,0.0
2013-02-28,0.008430864543075423,0.008897142447158246,0.00046627790408282376
2013-03-29,0.011636969333549397,0.012130631757387298,0.0004936624238379005
2013-04-30,0.010373841527421927,0.010373841527421927,0.0
2013-05-31,-0.04224961793406529,-0.04174489845465384,0.0005047194794114477
2013-06-28,-0.024367054860977934,-0.023397302136577543,0.0009697527244003929
2013-07-31,0.02358969119676556,0.0240892712373445,0.0004995800405789406
2013-08-30,0.0036529413832223825,0.004151887962841681,0.0004989465796192991
2013-09-30,0.018156076996668154,0.01914182282200991,0.0009857458253417562
2013-10-31,0.020404014501957432,0.020902764868125225,0.0004987503661677933
2013-11-29,-0.005664095689434791,-0.005664095689434791,0.0
2013-12-31,0.012055097677380175,0.012518335868437301,0.00046323819105712654
2014-01-31,0.012833967958992904,0.01333392327038162,0.0004999553113887152
2014-02-28,0.03448365914126144,0.03499444114625021,0.000510782004988769
2014-03-31,0.0040028318023908535,0.0040028318023908535,0.0
2014-04-30,0.008871198089030736,0.008871198089030736,0.0
2014-05-30,0.0062657284632246036,0.007248602486792068,0.0009828740235674647
2014-06-30,0.016234817457176084,0.016234817457176084,0.0
2014-07-31,-0.008049240940507511,-0.008049240940507511,0.0
2014-08-29,0.027949551424562166,0.028437726032377618,0.00048817460781545234
2014-09-30,-0.026603212912522385,-0.026110740423923834,0.000492472488598553
2014-10-31,0.0069378234089973205,0.0069378234089973205,0.0
2014-11-28,0.01434057028526199,0.01434057028526199,0.0
2014-12-31,0.01594606306741361,0.015977580772138567,3.151770472495673e-05
2015-01-30,0.06045953675230647,0.06045953675230647,0.0
2015-02-27,-0.03444330168673191,-0.03440624123099685,3.706045573505904e-05
2015-03-31,-0.011027599863909726,-0.010062201906534951,0.0009653979573747746
2015-04-30,-0.014750336631697924,-0.013772493974080641,0.0009778426576172825
2015-05-29,-0.0032527831618995055,-0.0027662691346278336,0.0004865140272716721
2015-06-30,-0.023546582256540077,-0.023051335794788998,0.000495246461751078
2015-07-31,0.008722915246943744,0.009212220285515747,0.0004893050385720015
2015-08-31,-0.0004930478448034218,1.35315878330058e-06,0.0004944010035867224
2015-09-30,-0.016437841703746126,-0.015448729233251997,0.000989112470494127
2015-10-30,0.02208000863635704,0.022777295078080143,0.0006972864417230995
2015-11-30,-0.0054640845189301,-0.0047780630139156195,0.0006860215050144811
2015-12-31,-0.014543434123408078,-0.014543434123408078,0.0
2016-01-29,0.006026117395517791,0.006518773876439393,0.0004926564809216009
2016-02-29,0.01061404446447909,0.011130210204642577,0.0005161657401634863
2016-03-31,0.02489684349308211,0.025377442514528295,0.0004805990214461844
2016-04-29,0.010807728530987572,0.010807728530987572,0.0
2016-05-31,-0.011188029642959209,-0.0106792209939266,0.0005088086490326076
2016-06-30,0.018963296666843932,0.019938985100362915,0.0009756884335189825
2016-07-29,0.01678359911691467,0.017752030363861783,0.0009684312469471127
2016-08-31,-0.012012609269670158,-0.012012609269670158,0.0
2016-09-30,-0.0031171191287208628,-0.0026322420898007223,0.0004848770389201402
2016-10-31,-0.023257439537594345,-0.023257439537594345,0.0
2016-11-30,-0.02610002368883694,-0.02610002368883694,0.0
2016-12-30,0.004209745129042851,0.004252624023878719,4.28788948358685e-05
2017-01-31,0.01613586812546953,0.01613586812546953,0.0
2017-02-28,0.02351394662881299,0.02351394662881299,0.0
2017-03-31,-0.001185280118973179,-0.0007049643299941851,0.0004803157889789938
2017-04-28,0.010986040121970004,0.010986040121970004,0.0
2017-05-31,0.010807502748878357,0.011297770223326852,0.0004902674744484944
2017-06-30,-0.0016293271917659576,-0.0011378038021158097,0.000491523389650148
2017-07-31,0.005529260503441853,0.005529260503441853,0.0
2017-08-31,0.02492172474224322,0.02492172474224322,0.0
2017-09-29,-0.015750357431397796,-0.015750357431397796,0.0
2017-10-31,0.0006637933950141504,0.0006637933950141504,0.0
2017-11-30,0.017737441601760707,0.01870844328772018,0.0009710016859594712
2017-12-29,0.012859548611144227,0.013356249730127567,0.00049670111898334
2018-01-31,0.029893179964952117,0.03038468083154841,0.000491500866596295
2018-02-28,-0.02583919497134786,-0.025332085913992494,0.0005071090573553655
2018-03-30,-0.013160690417646054,-0.01266713445231492,0.0004935559653311349
2018-04-30,-0.0015146616597919915,-0.0015146616597919915,0.0
2018-05-31,0.016743355149139934,0.016743355149139934,0.0
2018-06-29,0.0017065507078718122,0.0017065507078718122,0.0
2018-07-31,0.023422310602988522,0.023422310602988522,0.0
2018-08-31,0.02053456823887726,0.02053456823887726,0.0
2018-09-28,0.0008725164241042281,0.0008725164241042281,0.0
2018-10-31,-0.015013046246866734,-0.014016978570222747,0.0009960676766439867
2018-11-30,0.009866024927465508,0.009866024927465508,0.0
2018-12-31,-0.04479231764944798,-0.04380424636557716,0.0009880712838708202
2019-01-31,0.05981916381510702,0.0598580316712444,3.886785613738237e-05
2019-02-28,0.019125399285443368,0.019125399285443368,0.0
2019-03-29,0.020923549991745026,0.021918964190198693,0.0009954141984536671
2019-04-30,0.022849070733347753,0.023829088939363932,0.000980018206016178
2019-05-31,0.0018220938082143935,0.0023241505775720268,0.0005020567693576332
2019-06-28,0.05420894353876541,0.05472815190187452,0.0005192083631091115
2019-07-31,0.0020602041484230615,0.003044528171919407,0.0009843240234963457
2019-08-30,0.010499708125046615,0.011478058021572627,0.0009783498965260115
2019-09-30,0.005868300070487192,0.005868300070487192,0.0
2019-10-31,0.01386319887803384,0.01386319887803384,0.0
2019-11-29,-0.006548691118473405,-0.005576295634955699,0.000972395483517706
2019-12-31,0.01779280211189202,0.01876619403115132,0.0009733919192593027
2020-01-31,0.01250642743077843,0.01250642743077843,0.0
2020-02-28,-0.04063798318311588,-0.04063798318311588,0.0
2020-03-31,-0.08818914501567472,-0.08815316963024897,3.5975385425752e-05
2020-04-30,0.09315606199798361,0.09319174890443381,3.568690645019953e-05
2020-05-29,0.03547542156832324,0.03547542156832324,0.0
2020-06-30,0.014918026589840974,0.014954169375703165,3.614278586219093e-05
2020-07-31,0.051641940328158595,0.05213268197053828,0.0004907416423796875
2020-08-31,0.03348815432935414,0.033979775233718056,0.0004916209043639186
2020-09-30,-0.02539882545616853,-0.02536972823875265,2.9097217415877588e-05
2020-10-30,-0.018902475763183952,-0.018902475763183952,0.0
2020-11-30,0.07240575566673307,0.07240575566673307,0.0
2020-12-31,0.026646895555512577,0.026646895555512577,0.0
2021-01-29,-0.020421537748260072,-0.019911059159209335,0.0005104785890507372
2021-02-26,0.0036974111847987894,0.004182093356988937,0.00048468217219014767
2021-03-31,0.02147261174661037,0.02147261174661037,0.0
2021-04-30,0.038185484265676,0.03822538407200604,3.989980633003785e-05
2021-05-31,0.013937817738320198,0.014435404271405569,0.0004975865330853706
2021-06-30,0.018447776780701072,0.018943703453363846,0.000495926672662772
2021-07-30,0.02333710452727837,0.024319847436336677,0.0009827429090583065
2021-08-31,0.016589559952807535,0.017570239532412414,0.0009806795796048799
2021-09-30,-0.03530841568429157,-0.03530841568429157,0.0
2021-10-29,0.045741268753286386,0.045741268753286386,0.0
2021-11-30,0.007466394434552621,0.008454259221549505,0.000987864786996884
2021-12-31,0.004445582760844426,0.004445582760844426,0.0
2022-01-31,-0.026988743196417423,-0.026988743196417423,0.0
2022-02-28,0.005219606896251284,0.005219606896251284,0.0
2022-03-31,0.011129629821174597,0.012118247374352405,0.0009886175531778083
2022-04-29,-0.05600889242311277,-0.055019727309764184,0.0009891651133485844
2022-05-31,-0.015881542642209995,-0.015881542642209995,0.0
2022-06-30,-0.0649985450142018,-0.06401772152933616,0.0009808234848656435
2022-07-29,0.013788128685441348,0.014756843044064652,0.0009687143586233039
2022-08-31,-0.04242566888738784,-0.04145838559647592,0.0009672832909119191
2022-09-30,-0.05296153734443491,-0.051981820673982465,0.0009797166704524423
2022-10-31,0.043170057219898125,0.04415661001663102,0.0009865527967328968
2022-11-30,0.05877657281407638,0.059295284926562046,0.0005187121124856622
2022-12-30,-0.04030871552609701,-0.03981533975766949,0.0004933757684275197
2023-01-31,0.059559002488130834,0.059559002488130834,0.0
2023-02-28,-0.03097247187370951,-0.03097247187370951,0.0
2023-03-31,0.044602669341656305,0.045577887428182993,0.0009752180865266898
2023-04-28,0.007810495867038194,0.008302108884891392,0.0004916130178531981
2023-05-31,-0.01558109489901031,-0.015088805902806784,0.000492288996203526
2023-06-30,0.018729122896628522,0.019216506779627253,0.00048738388299873026
2023-07-31,0.01896287025708067,0.019436473748801125,0.00047360349172045506
2023-08-31,-0.01799498858056069,-0.017009062198007036,0.000985926382553653
2023-09-29,-0.04748217007783597,-0.046992613890836386,0.0004895561869995861
2023-10-31,-0.019951126955080528,-0.019463198750222552,0.00048792820485797503
2023-11-30,0.05890371669249305,0.0598820854833375,0.0009783687908444464
2023-12-29,0.04625061124536157,0.047225407832399834,0.000974796587038266
2024-01-31,-0.01128984062847602,-0.01031283918743292,0.0009770014410430995
2024-02-29,-0.0024748869626323687,-0.0024748869626323687,0.0
2024-03-29,0.02990941099522876,0.02990941099522876,0.0
2024-04-30,-0.023169593505645923,-0.023137167449479495,3.242605616642904e-05
2024-05-31,0.028921333986407803,0.029414462442193853,0.0004931284557860505
2024-06-28,0.011060347350872107,0.011556608999680735,0.0004962616488086285
2024-07-31,0.031307415166429355,0.031307415166429355,0.0
2024-08-30,0.01798231075403519,0.01798231075403519,0.0
2024-09-30,0.024881779696222694,0.024881779696222694,0.0
2024-10-31,-0.012608104863338255,-0.012608104863338255,0.0
2024-11-29,0.007704020804172318,0.007738846339236775,3.482553506445669e-05
2024-12-31,-0.029766696991553425,-0.029284612890269207,0.00048208410128421683
2025-01-31,0.02155522360416887,0.02155522360416887,0.0
2025-02-28,0.016896970307750284,0.016896970307750284,0.0
2025-03-31,-0.005216065205690805,-0.005216065205690805,0.0
2025-04-30,-0.004659037970599649,-0.004139120391923256,0.0005199175786763929
2025-05-30,0.03639839042717136,0.03639839042717136,0.0
2025-06-30,0.03898482207689518,0.03898482207689518,0.0
2025-07-31,-0.00411374689735499,-0.0031207702531541605,0.0009929766442008298
2025-08-29,0.015856589063739483,0.015856589063739483,0.0
2025-09-30,0.04957761293936254,0.04957761293936254,0.0
2025-10-31,0.017545188283252737,0.017581594668057598,3.640638480485971e-05
2025-11-28,0.01596388489019332,0.01596388489019332,0.0
2025-12-31,-0.0026896961909860335,-0.00170705617469438,0.0009826400162916535
2026-01-30,0.03180065907159537,0.03278250443235716,0.0009818453607617888
2026-02-27,0.04066356841425769,0.04069405151028272,3.0483096025033403e-05
